time,sensor_id,val,factor
2020-01-13T12:00:00.000Z,10049,34.89565125,PM25
2020-01-13T12:00:00.000Z,10050,41.58840561,PM10
2020-01-13T12:00:00.000Z,10050,35.18550873,PM25
2020-01-13T12:00:00.000Z,9969,1.358695621,PM10
2020-01-13T12:00:00.000Z,9969,1.315217361,PM25
2020-01-13T12:30:00.000Z,10001,34.41787402,PM10
2020-01-13T12:30:00.000Z,10001,31.35145028,PM25
2020-01-13T12:30:00.000Z,10049,38.63405863,PM10
2020-01-13T12:30:00.000Z,10049,34.38285128,PM25
2020-01-13T12:30:00.000Z,10050,42.03743935,PM10
2020-01-13T12:30:00.000Z,10050,35.52777735,PM25
2020-01-13T12:30:00.000Z,9969,0.932367186,PM10
2020-01-13T12:30:00.000Z,9969,0.927536269,PM25
2020-01-13T13:00:00.000Z,10001,31.72318878,PM10
2020-01-13T13:00:00.000Z,10001,29.6144928,PM25
2020-01-13T13:00:00.000Z,10049,34.17391364,PM10
2020-01-13T13:00:00.000Z,10049,31.41787465,PM25
2020-01-13T13:00:00.000Z,10050,31.90700531,PM10
2020-01-13T13:00:00.000Z,10050,28.23067633,PM25
2020-01-13T13:00:00.000Z,9969,1.672631013,PM10
2020-01-13T13:00:00.000Z,9969,1.661036837,PM25
2020-01-13T13:30:00.000Z,10001,30.74758466,PM10
2020-01-13T13:30:00.000Z,10001,28.79106331,PM25
2020-01-13T13:30:00.000Z,10049,34.85748736,PM10
2020-01-13T13:30:00.000Z,10049,31.53502274,PM25
2020-01-13T13:30:00.000Z,10050,33.18115966,PM10
2020-01-13T13:30:00.000Z,10050,29.48067697,PM25
2020-01-13T13:30:00.000Z,9969,2.060386469,PM10
2020-01-13T13:30:00.000Z,9969,1.821255992,PM25
2020-01-13T14:00:00.000Z,10001,35.86594264,PM10
2020-01-13T14:00:00.000Z,10001,32.17029031,PM25
2020-01-13T14:00:00.000Z,10049,42.410628,PM10
2020-01-13T14:00:00.000Z,10049,36.5229454,PM25
2020-01-13T14:00:00.000Z,10050,38.20893669,PM10
2020-01-13T14:00:00.000Z,10050,33.07125409,PM25
2020-01-13T14:00:00.000Z,9969,0.797101453,PM10
2020-01-13T14:00:00.000Z,9969,0.764492765,PM25
2020-01-13T14:30:00.000Z,10001,38.88285319,PM10
2020-01-13T14:30:00.000Z,10001,33.87318993,PM25
2020-01-13T14:30:00.000Z,10049,56.40217209,PM10
2020-01-13T14:30:00.000Z,10049,45.78502274,PM25
2020-01-13T14:30:00.000Z,10050,41.839372,PM10
2020-01-13T14:30:00.000Z,10050,35.12922668,PM25
2020-01-13T14:30:00.000Z,9969,1.242753635,PM10
2020-01-13T14:30:00.000Z,9969,1.213768135,PM25
2020-01-13T15:00:00.000Z,10001,39.24275335,PM10
2020-01-13T15:00:00.000Z,10001,34.1932373,PM25
2020-01-13T15:00:00.000Z,10049,54.42995071,PM10
2020-01-13T15:00:00.000Z,10049,44.53381729,PM25
2020-01-13T15:00:00.000Z,10050,44.38768005,PM10
2020-01-13T15:00:00.000Z,10050,37.00000064,PM25
2020-01-13T15:00:00.000Z,9969,1.17995165,PM10
2020-01-13T15:00:00.000Z,9969,1.16545889,PM25
2020-01-13T15:30:00.000Z,10001,45.25966454,PM10
2020-01-13T15:30:00.000Z,10001,38.10869598,PM25
2020-01-13T15:30:00.000Z,10049,52.60386721,PM10
2020-01-13T15:30:00.000Z,10049,43.34661802,PM25
2020-01-13T15:30:00.000Z,10050,61.66425196,PM10
2020-01-13T15:30:00.000Z,10050,48.14975675,PM25
2020-01-13T15:30:00.000Z,9969,1.535024156,PM10
2020-01-13T15:30:00.000Z,9969,1.431159447,PM25
2020-01-13T16:00:00.000Z,10001,47.79951668,PM10
2020-01-13T16:00:00.000Z,10001,39.8961366,PM25
2020-01-13T16:00:00.000Z,10049,54.74275335,PM10
2020-01-13T16:00:00.000Z,10049,44.96255875,PM25
2020-01-13T16:00:00.000Z,10050,56.21980476,PM10
2020-01-13T16:00:00.000Z,10050,44.69927533,PM25
2020-01-13T16:00:00.000Z,9969,2.231884122,PM10
2020-01-13T16:00:00.000Z,9969,2.231884122,PM25
2020-01-13T16:30:00.000Z,10001,51.59420204,PM10
2020-01-13T16:30:00.000Z,10001,42.67149798,PM25
2020-01-13T16:30:00.000Z,10049,54.7524147,PM10
2020-01-13T16:30:00.000Z,10049,45.13284938,PM25
2020-01-13T16:30:00.000Z,10050,54.95893796,PM10
2020-01-13T16:30:00.000Z,10050,43.90096601,PM25
2020-01-13T16:30:00.000Z,9969,2.204106232,PM10
2020-01-13T16:30:00.000Z,9969,2.179951648,PM25
2020-01-13T17:00:00.000Z,10001,53.32246399,PM10
2020-01-13T17:00:00.000Z,10001,43.82487933,PM25
2020-01-13T17:00:00.000Z,10049,54.31884066,PM10
2020-01-13T17:00:00.000Z,10049,44.50362269,PM25
2020-01-13T17:00:00.000Z,10050,56.93840218,PM10
2020-01-13T17:00:00.000Z,10050,45.31159337,PM25
2020-01-13T17:00:00.000Z,9969,1.870773027,PM10
2020-01-13T17:00:00.000Z,9969,1.845410675,PM25
2020-01-13T17:30:00.000Z,10001,57.10627937,PM10
2020-01-13T17:30:00.000Z,10001,46.51086934,PM25
2020-01-13T17:30:00.000Z,10049,51.54589399,PM10
2020-01-13T17:30:00.000Z,10049,42.52898598,PM25
2020-01-13T17:30:00.000Z,10050,57.2741553,PM10
2020-01-13T17:30:00.000Z,10050,45.41787465,PM25
2020-01-13T17:30:00.000Z,9969,3.992753665,PM10
2020-01-13T17:30:00.000Z,9969,3.830918034,PM25
2020-01-13T18:00:00.000Z,10001,55.07367134,PM10
2020-01-13T18:00:00.000Z,10001,44.981884,PM25
2020-01-13T18:00:00.000Z,10049,50.55193265,PM10
2020-01-13T18:00:00.000Z,10049,41.7475853,PM25
2020-01-13T18:00:00.000Z,10050,57.71980731,PM10
2020-01-13T18:00:00.000Z,10050,45.4855086,PM25
2020-01-13T18:00:00.000Z,9969,1.874396086,PM10
2020-01-13T18:00:00.000Z,9969,1.85265696,PM25
2020-01-13T18:30:00.000Z,10001,55.38526599,PM10
2020-01-13T18:30:00.000Z,10001,45.19323858,PM25
2020-01-13T18:30:00.000Z,10049,51.95289803,PM10
2020-01-13T18:30:00.000Z,10049,42.95531336,PM25
2020-01-13T18:30:00.000Z,10050,56.14492544,PM10
2020-01-13T18:30:00.000Z,10050,44.27173996,PM25
2020-01-13T18:30:00.000Z,9969,2.23550729,PM10
